year,track,driver,fp1_pos,fp2_pos,quali_pos,team,air_temp,track_temp,rainfall,finish_pos
2018,Australian Grand Prix,VET,,,3.0,Ferrari,24.737179487179485,30.473076923076924,False,1.0
2018,Australian Grand Prix,HAM,,,1.0,Mercedes,24.737179487179485,30.473076923076924,False,2.0
2018,Australian Grand Prix,RAI,,,2.0,Ferrari,24.737179487179485,30.473076923076924,False,3.0
2018,Australian Grand Prix,RIC,,,5.0,Red Bull Racing,24.737179487179485,30.473076923076924,False,4.0
2018,Australian Grand Prix,ALO,,,11.0,McLaren,24.737179487179485,30.473076923076924,False,5.0
2018,Australian Grand Prix,VER,,,4.0,Red Bull Racing,24.737179487179485,30.473076923076924,False,6.0
2018,Australian Grand Prix,HUL,,,8.0,Renault,24.737179487179485,30.473076923076924,False,7.0
2018,Australian Grand Prix,BOT,,,10.0,Mercedes,24.737179487179485,30.473076923076924,False,8.0
2018,Australian Grand Prix,VAN,,,12.0,McLaren,24.737179487179485,30.473076923076924,False,9.0
2018,Australian Grand Prix,SAI,,,9.0,Renault,24.737179487179485,30.473076923076924,False,10.0
2018,Australian Grand Prix,PER,,,13.0,Force India,24.737179487179485,30.473076923076924,False,11.0
2018,Australian Grand Prix,OCO,,,15.0,Force India,24.737179487179485,30.473076923076924,False,12.0
2018,Australian Grand Prix,LEC,,,18.0,Sauber,24.737179487179485,30.473076923076924,False,13.0
2018,Australian Grand Prix,STR,,,14.0,Williams,24.737179487179485,30.473076923076924,False,14.0
2018,Australian Grand Prix,HAR,,,16.0,Toro Rosso,24.737179487179485,30.473076923076924,False,15.0
2018,Australian Grand Prix,GRO,,,7.0,Haas F1 Team,24.737179487179485,30.473076923076924,False,16.0
2018,Australian Grand Prix,MAG,,,6.0,Haas F1 Team,24.737179487179485,30.473076923076924,False,17.0
2018,Australian Grand Prix,GAS,,,20.0,Toro Rosso,24.737179487179485,30.473076923076924,False,18.0
2018,Australian Grand Prix,ERI,,,17.0,Sauber,24.737179487179485,30.473076923076924,False,19.0
2018,Australian Grand Prix,SIR,,,19.0,Williams,24.737179487179485,30.473076923076924,False,20.0
2018,Bahrain Grand Prix,VET,,,1.0,Ferrari,28.214473684210528,31.864473684210523,False,1.0
2018,Bahrain Grand Prix,BOT,,,3.0,Mercedes,28.214473684210528,31.864473684210523,False,2.0
2018,Bahrain Grand Prix,HAM,,,4.0,Mercedes,28.214473684210528,31.864473684210523,False,3.0
2018,Bahrain Grand Prix,GAS,,,6.0,Toro Rosso,28.214473684210528,31.864473684210523,False,4.0
2018,Bahrain Grand Prix,MAG,,,7.0,Haas F1 Team,28.214473684210528,31.864473684210523,False,5.0
2018,Bahrain Grand Prix,HUL,,,8.0,Renault,28.214473684210528,31.864473684210523,False,6.0
2018,Bahrain Grand Prix,ALO,,,13.0,McLaren,28.214473684210528,31.864473684210523,False,7.0
2018,Bahrain Grand Prix,VAN,,,14.0,McLaren,28.214473684210528,31.864473684210523,False,8.0
2018,Bahrain Grand Prix,ERI,,,17.0,Sauber,28.214473684210528,31.864473684210523,False,9.0
2018,Bahrain Grand Prix,OCO,,,9.0,Force India,28.214473684210528,31.864473684210523,False,10.0
2018,Bahrain Grand Prix,SAI,,,10.0,Renault,28.214473684210528,31.864473684210523,False,11.0
2018,Bahrain Grand Prix,LEC,,,19.0,Sauber,28.214473684210528,31.864473684210523,False,12.0
2018,Bahrain Grand Prix,GRO,,,16.0,Haas F1 Team,28.214473684210528,31.864473684210523,False,13.0
2018,Bahrain Grand Prix,STR,,,20.0,Williams,28.214473684210528,31.864473684210523,False,14.0
2018,Bahrain Grand Prix,SIR,,,18.0,Williams,28.214473684210528,31.864473684210523,False,15.0
2018,Bahrain Grand Prix,PER,,,12.0,Force India,28.214473684210528,31.864473684210523,False,16.0
2018,Bahrain Grand Prix,HAR,,,11.0,Toro Rosso,28.214473684210528,31.864473684210523,False,17.0
2018,Bahrain Grand Prix,RAI,,,2.0,Ferrari,28.214473684210528,31.864473684210523,False,18.0
2018,Bahrain Grand Prix,VER,,,15.0,Red Bull Racing,28.214473684210528,31.864473684210523,False,19.0
2018,Bahrain Grand Prix,RIC,,,5.0,Red Bull Racing,28.214473684210528,31.864473684210523,False,20.0
2018,Chinese Grand Prix,RIC,,,6.0,Red Bull Racing,12.802941176470588,15.541176470588232,False,1.0
2018,Chinese Grand Prix,BOT,,,3.0,Mercedes,12.802941176470588,15.541176470588232,False,2.0
2018,Chinese Grand Prix,RAI,,,2.0,Ferrari,12.802941176470588,15.541176470588232,False,3.0
2018,Chinese Grand Prix,HAM,,,4.0,Mercedes,12.802941176470588,15.541176470588232,False,4.0
2018,Chinese Grand Prix,VER,,,5.0,Red Bull Racing,12.802941176470588,15.541176470588232,False,5.0
2018,Chinese Grand Prix,HUL,,,7.0,Renault,12.802941176470588,15.541176470588232,False,6.0
